CICLO,MES,CLAVE_DE_CONCEPTO,NOMBRE,TEMA,SUBTEMA,SECTOR,AMBITO,TIPO_DE_INFORMACION,BASE_DE_REGISTRO,UNIDAD_DE_MEDIDA,PERIODO_INICIO,PERIODO_FINAL,FRECUENCIA,DIFUSION,MONTO
2011,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,28359458
2013,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,30390151
2012,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,28041972
2014,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-23919046
2002,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,33402135
2003,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,23058521
2004,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,36326569
2001,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,14967282
2007,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,66479912
2006,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-17138220
2005,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,55094177
2008,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,30057577
2009,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,8067198
2010,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,18002212
2011,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,8361948
2013,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,12063109
2012,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,33345697
2014,Junio,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,14700773
2004,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,53758257
2003,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,25801266
2001,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,9747614
2002,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,23436396
2007,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,51419105
2006,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,50188545
2005,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,39244574
2008,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,77272818
2009,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-32367229
2010,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-12476278
2011,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,26771711
2013,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-30955626
2012,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,2132197
2014,Septiembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-37156332
2004,Diciembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-30802548
2003,Diciembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-12502785
2001,Diciembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-12581716
2002,Diciembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-18881968
2007,Diciembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,56233360
2006,Diciembre,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,98716819
